# CurveFit Sample Data File
# Load using: "Load Frequency Response File" Data I/O menu choice
#
# Freq (Hz)         	Amplitude (V)       	Offset (V)          	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           	Amplitude (V)       	sig Amplitude       	Phase (deg)         	sig Phase           
17500.00            	0.05000000          	0.000000            	0.04948726          	0.000004305856      	-3.042339           	0.08189756          	0.2374864           	0.000005193926      	-150.9329           	0.02069480          
17608.37            	0.05000000          	0.000000            	0.04951053          	0.0000009871634     	-3.149487           	0.02002619          	0.2235941           	0.000004957214      	-152.8869           	0.08200290          
17738.91            	0.05000000          	0.000000            	0.04953032          	0.000004916405      	-3.082865           	0.0006966153        	0.2085265           	0.00001029932       	-154.8431           	0.03047839          
17850.00            	0.05000000          	0.000000            	0.04954944          	0.000003089834      	-3.071509           	0.08191975          	0.1970371           	0.000005919785      	-156.3303           	0.03099021          
17869.46            	0.05000000          	0.000000            	0.04955378          	0.000003574555      	-3.044443           	0.06329731          	0.1951235           	0.00001236244       	-156.5452           	0.06930209          
18000.00            	0.05000000          	0.000000            	0.04957643          	0.000004137686      	-3.007757           	0.09193306          	0.1831164           	0.000006946009      	-158.1089           	0.03339801          
18000.00            	0.05000000          	0.000000            	0.04957168          	0.000007298566      	-3.083049           	0.05045470          	0.1831181           	0.00001554838       	-158.0818           	0.03437100          
18200.00            	0.05000000          	0.000000            	0.04960606          	0.000004909161      	-3.166745           	0.02878713          	0.1670175           	0.000006161159      	-160.1214           	0.04620243          
18500.00            	0.05000000          	0.000000            	0.04962828          	0.000001931612      	-3.119131           	0.08627302          	0.1470703           	0.00001550413       	-162.6989           	0.02080499          
18550.00            	0.05000000          	0.000000            	0.04963817          	0.000003010059      	-3.174702           	0.02430860          	0.1441690           	0.00001092025       	-162.9497           	0.1037584           
18900.00            	0.05000000          	0.000000            	0.04967685          	0.000002888096      	-3.138775           	0.04053272          	0.1262967           	0.000009359989      	-165.2103           	0.06096541          
19000.00            	0.05000000          	0.000000            	0.04968411          	0.000003642544      	-3.171555           	0.03700368          	0.1219012           	0.000007519350      	-165.7359           	0.03128905          
19250.00            	0.05000000          	0.000000            	0.04969172          	0.000005072287      	-3.192572           	0.07249565          	0.1120330           	0.00001265995       	-167.0456           	0.07850508          
19500.00            	0.05000000          	0.000000            	0.04971318          	0.000005212013      	-3.318358           	0.02670722          	0.1034860           	0.000009286226      	-167.9587           	0.04437007          
19600.00            	0.05000000          	0.000000            	0.04973523          	0.000003279212      	-3.265005           	0.08141690          	0.1003873           	0.000004967815      	-168.4084           	0.05897015          
19950.00            	0.05000000          	0.000000            	0.04974265          	0.000001196509      	-3.270280           	0.06288568          	0.09077586          	0.00001413608       	-169.7055           	0.02896118          
20000.00            	0.05000000          	0.000000            	0.04973792          	0.000004337939      	-3.281110           	0.04378652          	0.08950314          	0.000007020212      	-169.7335           	0.08666089          
20300.00            	0.05000000          	0.000000            	0.04975794          	0.000005036270      	-3.373638           	0.07711185          	0.08264626          	0.000001208474      	-170.6486           	0.06557313          
20500.00            	0.05000000          	0.000000            	0.04975719          	0.0000008139203     	-3.324954           	0.01380856          	0.07856994          	0.00001083876       	-171.2992           	0.03102489          
20650.00            	0.05000000          	0.000000            	0.04977152          	0.000007920142      	-3.450830           	0.05903975          	0.07574855          	0.000009079149      	-171.5814           	0.05886658          
21000.00            	0.05000000          	0.000000            	0.04979633          	0.000004638683      	-3.474153           	0.04221825          	0.06977160          	0.000003385878      	-172.4870           	0.04110143          
21000.00            	0.05000000          	0.000000            	0.04978242          	0.000002412030      	-3.495305           	0.1094046           	0.06979135          	0.000003983304      	-172.3986           	0.03581966          
21500.00            	0.05000000          	0.000000            	0.04980073          	0.000006448822      	-3.642611           	0.08606904          	0.06259149          	0.000003734284      	-173.1475           	0.1290146           
22000.00            	0.05000000          	0.000000            	0.04979236          	0.00003721732       	-3.638738           	0.1252221           	0.05659634          	0.00004488164       	-174.1122           	0.06298315          
22500.00            	0.05000000          	0.000000            	0.04981984          	0.000004876177      	-3.765329           	0.08325040          	0.05154277          	0.000005172669      	-174.8040           	0.08061698          
23000.00            	0.05000000          	0.000000            	0.04982349          	0.000003585323      	-3.907356           	0.1302507           	0.04723362          	0.00001557601       	-175.3439           	0.1109105           
23500.00            	0.05000000          	0.000000            	0.04983755          	0.000002932807      	-3.987378           	0.06328189          	0.04348550          	0.000006564001      	-175.9041           	0.1404315           
24000.00            	0.05000000          	0.000000            	0.04984976          	0.000007757399      	-4.167653           	0.03363745          	0.04022970          	0.00001010623       	-176.6311           	0.05132318          
24500.00            	0.05000000          	0.000000            	0.04984762          	0.000001713534      	-4.050409           	0.02964279          	0.03737095          	0.00002046863       	-177.0307           	0.07442520          
25000.00            	0.05000000          	0.000000            	0.04985203          	0.000005723200      	-4.221498           	0.04131832          	0.03483604          	0.00001455440       	-177.3571           	0.1339494           
