# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 1:38:51.915 PM 5/24/2018 ; Start Temp: 298.9860 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  222.3020   298.9690   1128.795   2703.079   5.653960   39382.75   26.89298
  223.8030   298.9660   1128.791   2703.086   5.653137   39380.98   26.89248
  225.2940   298.9670   1128.794   2703.086   5.653706   39382.93   26.89254
  226.8050   298.9660   1128.793   2703.079   5.654023   39382.49   26.89184
  228.2940   298.9660   1128.795   2703.092   5.653453   39382.75   26.89184
  229.8020   298.9670   1128.794   2703.067   5.654403   39383.76   26.89184
  231.3010   298.9660   1128.793   2703.111   5.653327   39383.63   26.89210
  232.8040   298.9660   1128.793   2703.105   5.653643   39383.32   26.89305
  234.2920   298.9660   1128.792   2703.067   5.654150   39383.25   26.89292
  235.8030   298.9660   1128.793   2703.092   5.653643   39383.32   26.89216
  237.3000   298.9660   1128.791   2703.098   5.653516   39384.32   26.89222
  238.7960   298.9650   1128.794   2703.105   5.653137   39384.58   26.89279
  240.3000   298.9660   1128.791   2703.098   5.653896   39384.96   26.89286
  241.8020   298.9650   1128.791   2703.073   5.653580   39385.15   26.89197
  243.3020   298.9660   1128.792   2703.086   5.653579   39384.52   26.89254
  244.8020   298.9650   1128.791   2703.105   5.654023   39385.15   26.89254
  246.3020   298.9640   1128.793   2703.098   5.653896   39385.09   26.89241
  247.8020   298.9640   1128.788   2703.086   5.653643   39385.78   26.89311
  249.3000   298.9650   1128.791   2703.079   5.653580   39385.53   26.89298
  250.7950   298.9650   1128.791   2703.098   5.653770   39384.96   26.89229
  252.2930   298.9660   1128.791   2703.098   5.653770   39385.71   26.89292
  253.8020   298.9640   1128.792   2703.073   5.653643   39384.58   26.89184
  255.3000   298.9630   1128.791   2703.111   5.653580   39386.35   26.89286
  256.8000   298.9630   1128.790   2703.086   5.653389   39386.22   26.89298
  258.3010   298.9650   1128.790   2703.098   5.653263   39386.29   26.89279
  259.9310   298.9640   1128.789   2703.105   5.653769   39387.23   26.89254
  261.3030   298.9640   1128.789   2703.111   5.653706   39387.48   26.89273
  262.8030   298.9640   1128.787   2703.098   5.653326   39386.85   26.89267
  264.2990   298.9630   1128.788   2703.067   5.653136   39387.55   26.89229
  265.7950   298.9620   1128.789   2703.073   5.653073   39387.80   26.89273
  267.2940   298.9640   1128.788   2703.067   5.653516   39387.93   26.89203
  268.8010   298.9620   1128.788   2703.073   5.652819   39388.05   26.89216
  270.3020   298.9630   1128.788   2703.092   5.653453   39387.86   26.89267
  271.8010   298.9640   1128.786   2703.086   5.653263   39387.99   26.89235
  273.2990   298.9630   1128.788   2703.086   5.653516   39388.43   26.89317
  274.8000   298.9620   1128.786   2703.098   5.653643   39388.50   26.89279
  276.2990   298.9640   1128.787   2703.098   5.653769   39388.24   26.89311
  277.8010   298.9650   1128.786   2703.092   5.653263   39388.12   26.89267
  279.2990   298.9620   1128.788   2703.105   5.653770   39389.76   26.89235
  280.9170   298.9630   1128.783   2703.105   5.653390   39388.37   26.89203
