# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 2:34:01.712 PM 5/24/2018 ; Start Temp: 229.2230 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  4566.254   338.9390   869.6729   2714.928   6.524917   8309.562   26.86847
  4592.445   339.4600   859.6575   2715.448   6.535368   8158.242   26.86809
  4618.226   339.9880   850.3634   2715.967   6.546705   8010.274   26.86777
  4642.977   340.5010   840.9083   2716.455   6.557409   7870.619   26.86714
  4668.010   341.0080   831.3671   2716.968   6.569126   7732.415   26.86537
  4693.827   341.5280   822.3506   2717.526   6.580021   7594.395   26.86568
  4719.112   342.0390   812.6280   2718.058   6.592435   7463.186   26.86518
  4744.203   342.5420   803.2832   2718.584   6.602126   7331.273   26.86455
  4769.516   343.0730   793.9289   2719.135   6.613843   7207.060   26.86423
  4794.986   343.5940   784.4637   2719.705   6.625623   7078.968   26.86341
  4819.992   344.0870   775.4872   2720.250   6.637341   6957.770   26.86366
  4845.995   344.5880   766.2482   2720.846   6.648425   6835.204   26.86220
  4869.547   345.0790   757.1627   2721.365   6.658876   6727.743   26.86151
  4894.917   345.5840   748.1355   2721.955   6.670340   6614.002   26.86094
  4920.144   346.1000   739.0031   2722.557   6.680284   6501.365   26.86056
  4945.213   346.6120   729.9074   2723.139   6.691748   6392.453   26.85973
  4970.976   347.1240   720.5709   2723.760   6.702832   6283.832   26.85979
  4996.321   347.6250   711.7103   2724.388   6.713790   6180.090   26.85910
  5022.450   348.1470   702.2147   2725.034   6.725126   6073.320   26.85840
  5049.478   348.6650   693.2978   2725.693   6.737034   5968.659   26.85827
  5075.259   349.1850   684.2896   2726.327   6.747738   5866.445   26.85707
  5100.701   349.6780   675.2503   2726.986   6.759075   5771.016   26.85625
  5125.903   350.1860   667.0459   2727.620   6.770033   5677.881   26.85587
  5152.501   350.7050   657.6694   2728.329   6.781117   5582.015   26.85593
  5177.897   351.2180   649.3585   2728.988   6.792011   5490.097   26.85492
  5204.906   351.7360   640.4365   2729.717   6.804045   5396.740   26.85384
  5231.497   352.2580   631.9012   2730.427   6.814369   5304.061   26.85359
  5257.115   352.7510   623.0914   2731.136   6.825517   5217.610   26.85270
  5282.899   353.2510   614.4737   2731.827   6.836538   5134.169   26.85175
  5308.583   353.7690   606.7199   2732.530   6.847558   5054.062   26.85232
  5335.732   354.2810   598.4750   2733.265   6.858959   4968.030   26.85143
  5362.659   354.8060   590.0569   2734.038   6.870614   4887.599   26.85067
  5389.689   355.3340   581.4551   2734.792   6.882140   4805.470   26.84998
