# Resistivity Experiment v3.0
# 
# Data Acquisition Unit: Agilent Model 34970A
# Start Time: 1:50:47.002 PM 5/24/2018 ; Start Temp: 298.9410 K
# Time (s)   Temp (K)         R1         R2         R3         R4         R5
  354.1810   293.2760   1102.981   2705.246   5.527411   50439.14   26.89355
  355.6830   293.2620   1102.770   2705.265   5.530642   50533.73   26.89343
  357.1850   293.2330   1101.684   2705.297   5.525891   50586.99   26.89374
  358.6830   293.1280   1102.275   2705.284   5.527855   50714.80   26.89324
  360.1830   293.0930   1101.793   2705.329   5.526398   50779.62   26.89267
  361.8310   293.1180   1101.674   2705.348   5.525701   51272.62   26.89317
  363.2050   293.0050   1100.997   2705.398   5.525448   51549.61   26.89273
  364.6760   293.0070   1098.303   2705.335   5.524308   51712.24   26.89305
  366.1830   292.9390   1094.791   2705.519   5.524561   51540.20   26.89336
  367.6780   292.7690   1100.663   2705.525   5.522471   51660.75   26.89260
  369.1830   292.8130   1100.844   2705.531   5.520254   51669.91   26.89336
  370.6830   292.6770   1100.215   2705.493   5.520064   52020.62   26.89273
  372.2640   292.7090   1100.145   2705.487   5.519748   51975.77   26.89393
  373.6830   292.7310   1099.883   2705.538   5.519177   51921.68   26.89235
  375.1810   292.6470   1100.171   2705.557   5.518227   51934.19   26.89311
  376.6840   292.5100   1098.343   2705.538   5.516454   51994.97   26.89267
  378.1810   292.4420   1099.253   2705.531   5.515504   52188.75   26.89330
  379.6830   292.4440   1098.935   2705.607   5.514554   52445.32   26.89241
  381.1830   292.4160   1096.713   2705.614   5.513920   52788.84   26.89298
  382.6760   292.4720   1098.034   2705.633   5.512337   52934.16   26.89279
  384.1760   292.2010   1098.038   2705.709   5.512147   52889.74   26.89279
  385.6770   292.1340   1097.942   2705.734   5.511514   53322.21   26.89229
  387.1820   292.2150   1096.431   2705.740   5.509360   53505.94   26.89279
  388.6820   292.1420   1095.205   2705.810   5.508854   53589.34   26.89260
  390.1810   292.1650   1094.177   2705.785   5.507206   53641.46   26.89286
  391.6820   292.0670   1096.390   2705.905   5.505243   53587.45   26.89298
  393.1820   292.0170   1095.310   2705.937   5.505116   53658.40   26.89368
  394.6820   291.9180   1095.697   2705.950   5.503786   53723.22   26.89267
  396.1820   291.7580   1095.569   2705.988   5.501253   53831.89   26.89254
  398.0410   291.8330   1094.847   2705.950   5.500873   53946.57   26.89267
  399.1730   291.7790   1094.474   2706.026   5.499923   54046.45   26.89349
  400.6830   291.7180   1094.447   2706.013   5.498213   54119.62   26.89336
  402.2070   291.6170   1094.207   2706.064   5.497199   54257.41   26.89305
  403.6800   291.5910   1093.794   2706.038   5.495553   54348.33   26.89279
  405.1830   291.4960   1094.293   2706.102   5.495869   54508.30   26.89311
  406.6820   291.4950   1093.467   2706.140   5.494032   54596.64   26.89305
  408.1820   291.3280   1093.145   2706.140   5.493336   54855.87   26.89349
  409.6820   291.2410   1093.121   2706.171   5.491245   55107.58   26.89260
  411.1800   291.1900   1092.290   2706.171   5.489156   55234.45   26.89279
  412.6750   291.0990   1092.461   2706.229   5.487255   55463.60   26.89292
  414.1730   291.1780   1092.203   2706.222   5.486306   55674.57   26.89248
  415.6830   291.0060   1091.175   2706.254   5.484342   55791.70   26.89279
  417.1810   290.7810   1090.907   2706.323   5.483202   56604.59   26.89349
  418.6740   290.8160   1090.584   2706.362   5.481492   56922.45   26.89241
  420.1720   290.7940   1088.610   2706.425   5.479464   56883.47   26.89298
  421.6830   290.7030   1089.061   2706.482   5.475538   56963.58   26.89286
  423.1830   290.5600   1086.237   2706.507   5.474207   57150.79   26.89279
  424.6810   290.3920   1088.036   2706.571   5.473068   57348.22   26.89286
  426.1810   290.4000   1086.890   2706.640   5.471547   57575.86   26.89254
  427.6750   290.3340   1087.474   2706.710   5.469711   57859.74   26.89305
  429.1730   290.2890   1087.279   2706.742   5.468950   58258.72   26.89286
  430.6740   290.1900   1086.711   2706.786   5.465594   58364.80   26.89343
  432.1820   290.0870   1085.407   2706.824   5.464137   58706.48   26.89279
  433.6790   289.9970   1086.075   2706.913   5.462933   58943.86   26.89254
  435.1810   289.7710   1085.505   2706.906   5.459577   59098.27   26.89343
  436.6810   289.6910   1085.225   2707.008   5.458690   59389.47   26.89260
  438.1790   289.4140   1083.107   2707.040   5.453370   59839.01   26.89286
  439.6790   289.2810   1080.800   2707.103   5.449190   60422.10   26.89254
  441.1810   289.2490   1080.062   2707.210   5.445896   60695.42   26.89229
  442.6790   288.2720   1080.123   2707.375   5.442159   60944.67   26.89273
  444.1800   288.8580   1078.846   2707.458   5.440259   61226.84   26.89254
  445.6810   288.8060   1079.075   2707.515   5.438042   61500.72   26.89203
  447.1790   288.6510   1078.751   2707.553   5.435066   61884.99   26.89311
  448.6790   288.3010   1078.892   2707.648   5.432279   62219.21   26.89343
  450.1790   288.3930   1078.362   2707.654   5.430252   62575.55   26.89241
  451.6820   288.3130   1078.430   2707.705   5.425628   62868.02   26.89235
  453.1790   288.3890   1077.411   2707.743   5.425122   63098.19   26.89305
  454.6810   288.1430   1075.351   2707.793   5.425185   63378.96   26.89279
  456.1790   288.1770   1073.734   2707.800   5.421891   63721.78   26.89260
  457.6730   288.0640   1074.897   2707.939   5.419928   63993.78   26.89260
  459.1790   287.9860   1074.361   2708.021   5.419104   64218.77   26.89267
  460.6740   287.8370   1071.889   2708.034   5.417901   64432.95   26.89292
  462.1810   287.7930   1074.527   2708.180   5.414670   64669.50   26.89260
  463.6790   287.7410   1073.619   2708.167   5.412897   64903.39   26.89305
  465.1790   287.3710   1071.662   2708.269   5.410934   65153.34   26.89222
  466.6800   287.4300   1071.807   2708.345   5.408527   65696.69   26.89298
